name,description
"Difficulty","The pet is easy to take care of and does not require much knowledge to begin with"
"Cost","The pet is cheap to take care,  i.e. its food does not cost much"
"Time","The pet does not require a lot of time"
"Lifespan","The pet is long lived"
"Space","The pet does not require a lot of open space"
