name,pictureUrl,description
"Snake","https://ichef.bbci.co.uk/news/976/cpsprodpb/D0F1/production/_127998435_snake.jpg","Many snakes make good pets because they are quite docile, easy to hold, and easy to care for. Snakes are very clean, virtually odorless, and they are quiet."
"Dog","https://www.zooplus.pl/magazyn/wp-content/uploads/2021/04/dog-niemiecki-768x512.jpg","Dogs are domesticated mammals, not natural wild animals. They were originally bred from wolves. They have been bred by humans for a long time and were the first animals ever to be domesticated."
"Cat","https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Calico_tabby_cat_-_Savannah.jpg/1200px-Calico_tabby_cat_-_Savannah.jpg","The cat is a domestic species of small carnivorous mammal. The cat is similar in anatomy to the other felid species: it has a strong flexible body, quick reflexes, sharp teeth."
"Guinea pig","https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/George_the_amazing_guinea_pig.jpg/1200px-George_the_amazing_guinea_pig.jpg","Guinea pigs have a robust body with short limbs, large head and eyes, and short ears. The fur varies in length, texture, and colour. The feet have hairless soles and short sharp claws. There are four toes on the forefeet and three on the hind feet."
